"StateFIPS","State","Year","Hosps","Age_Group","Sex"
4,"Arizona",2010,3,"5 TO 14","Female"
4,"Arizona",2010,63,"15 TO 34","Male"
4,"Arizona",2010,11,"15 TO 34","Female"
4,"Arizona",2010,201,"35 TO 64","Male"
4,"Arizona",2010,40,"35 TO 64","Female"
4,"Arizona",2010,80,">= 65","Male"
4,"Arizona",2010,44,">= 65","Female"
4,"Arizona",2011,0,"0 TO 4","Male"
4,"Arizona",2011,1,"0 TO 4","Female"
4,"Arizona",2011,2,"5 TO 14","Male"
4,"Arizona",2011,0,"5 TO 14","Female"
4,"Arizona",2011,70,"15 TO 34","Male"
4,"Arizona",2011,6,"15 TO 34","Female"
4,"Arizona",2011,203,"35 TO 64","Male"
4,"Arizona",2011,52,"35 TO 64","Female"
4,"Arizona",2011,94,">= 65","Male"
4,"Arizona",2011,64,">= 65","Female"
4,"Arizona",2012,0,"0 TO 4","Male"
4,"Arizona",2012,0,"0 TO 4","Female"
4,"Arizona",2012,5,"5 TO 14","Male"
4,"Arizona",2012,1,"5 TO 14","Female"
4,"Arizona",2012,84,"15 TO 34","Male"
4,"Arizona",2012,8,"15 TO 34","Female"
4,"Arizona",2012,200,"35 TO 64","Male"
4,"Arizona",2012,36,"35 TO 64","Female"
4,"Arizona",2012,83,">= 65","Male"
4,"Arizona",2012,47,">= 65","Female"
4,"Arizona",2013,3,"0 TO 4","Male"
4,"Arizona",2013,2,"0 TO 4","Female"
4,"Arizona",2013,0,"5 TO 14","Male"
4,"Arizona",2013,1,"5 TO 14","Female"
4,"Arizona",2013,64,"15 TO 34","Male"
4,"Arizona",2013,10,"15 TO 34","Female"
4,"Arizona",2013,198,"35 TO 64","Male"
4,"Arizona",2013,51,"35 TO 64","Female"
4,"Arizona",2013,86,">= 65","Male"
4,"Arizona",2013,47,">= 65","Female"
4,"Arizona",2014,1,"0 TO 4","Male"
4,"Arizona",2014,0,"0 TO 4","Female"
4,"Arizona",2014,1,"5 TO 14","Male"
4,"Arizona",2014,0,"5 TO 14","Female"
4,"Arizona",2014,78,"15 TO 34","Male"
4,"Arizona",2014,9,"15 TO 34","Female"
4,"Arizona",2014,155,"35 TO 64","Male"
4,"Arizona",2014,40,"35 TO 64","Female"
4,"Arizona",2014,76,">= 65","Male"
4,"Arizona",2014,46,">= 65","Female"
4,"Arizona",2015,0,"0 TO 4","Male"
4,"Arizona",2015,3,"0 TO 4","Female"
4,"Arizona",2015,2,"5 TO 14","Male"
4,"Arizona",2015,0,"5 TO 14","Female"
4,"Arizona",2015,72,"15 TO 34","Male"
4,"Arizona",2015,5,"15 TO 34","Female"
4,"Arizona",2015,211,"35 TO 64","Male"
4,"Arizona",2015,58,"35 TO 64","Female"
4,"Arizona",2015,91,">= 65","Male"
4,"Arizona",2015,45,">= 65","Female"
4,"Arizona",2016,0,"0 TO 4","Male"
4,"Arizona",2016,0,"0 TO 4","Female"
4,"Arizona",2016,3,"5 TO 14","Male"
4,"Arizona",2016,0,"5 TO 14","Female"
4,"Arizona",2016,87,"15 TO 34","Male"
4,"Arizona",2016,14,"15 TO 34","Female"
4,"Arizona",2016,214,"35 TO 64","Male"
4,"Arizona",2016,44,"35 TO 64","Female"
4,"Arizona",2016,97,">= 65","Male"
4,"Arizona",2016,68,">= 65","Female"
4,"Arizona",2017,0,"0 TO 4","Male"
4,"Arizona",2017,0,"0 TO 4","Female"
4,"Arizona",2017,2,"5 TO 14","Male"
4,"Arizona",2017,0,"5 TO 14","Female"
4,"Arizona",2017,103,"15 TO 34","Male"
4,"Arizona",2017,11,"15 TO 34","Female"
4,"Arizona",2017,279,"35 TO 64","Male"
4,"Arizona",2017,66,"35 TO 64","Female"
4,"Arizona",2017,123,">= 65","Male"
4,"Arizona",2017,69,">= 65","Female"
4,"Arizona",2018,1,"0 TO 4","Male"
4,"Arizona",2018,1,"0 TO 4","Female"
4,"Arizona",2018,2,"5 TO 14","Male"
4,"Arizona",2018,0,"5 TO 14","Female"
4,"Arizona",2018,106,"15 TO 34","Male"
4,"Arizona",2018,10,"15 TO 34","Female"
4,"Arizona",2018,271,"35 TO 64","Male"
4,"Arizona",2018,61,"35 TO 64","Female"
4,"Arizona",2018,139,">= 65","Male"
4,"Arizona",2018,73,">= 65","Female"
4,"Arizona",2019,0,"0 TO 4","Male"
4,"Arizona",2019,2,"0 TO 4","Female"
4,"Arizona",2019,1,"5 TO 14","Male"
4,"Arizona",2019,1,"5 TO 14","Female"
4,"Arizona",2019,86,"15 TO 34","Male"
4,"Arizona",2019,15,"15 TO 34","Female"
4,"Arizona",2019,265,"35 TO 64","Male"
4,"Arizona",2019,58,"35 TO 64","Female"
4,"Arizona",2019,114,">= 65","Male"
4,"Arizona",2019,96,">= 65","Female"
4,"Arizona",2020,0,"0 TO 4","Male"
4,"Arizona",2020,0,"0 TO 4","Female"
4,"Arizona",2020,5,"5 TO 14","Male"
4,"Arizona",2020,0,"5 TO 14","Female"
4,"Arizona",2020,114,"15 TO 34","Male"
4,"Arizona",2020,21,"15 TO 34","Female"
4,"Arizona",2020,349,"35 TO 64","Male"
4,"Arizona",2020,66,"35 TO 64","Female"
4,"Arizona",2020,163,">= 65","Male"
4,"Arizona",2020,80,">= 65","Female"
4,"Arizona",2021,3,"0 TO 4","Male"
4,"Arizona",2021,0,"0 TO 4","Female"
4,"Arizona",2021,2,"5 TO 14","Male"
4,"Arizona",2021,0,"5 TO 14","Female"
4,"Arizona",2021,134,"15 TO 34","Male"
4,"Arizona",2021,18,"15 TO 34","Female"
4,"Arizona",2021,309,"35 TO 64","Male"
4,"Arizona",2021,76,"35 TO 64","Female"
4,"Arizona",2021,167,">= 65","Male"
4,"Arizona",2021,93,">= 65","Female"
4,"Arizona",2022,0,"0 TO 4","Male"
4,"Arizona",2022,2,"0 TO 4","Female"
4,"Arizona",2022,1,"5 TO 14","Male"
4,"Arizona",2022,0,"5 TO 14","Female"
4,"Arizona",2022,174,"15 TO 34","Male"
4,"Arizona",2022,27,"15 TO 34","Female"
4,"Arizona",2022,363,"35 TO 64","Male"
4,"Arizona",2022,87,"35 TO 64","Female"
4,"Arizona",2022,184,">= 65","Male"
4,"Arizona",2022,131,">= 65","Female"
6,"California",2000,4,"0 TO 4","Male"
6,"California",2000,7,"0 TO 4","Female"
6,"California",2000,9,"5 TO 14","Male"
6,"California",2000,2,"5 TO 14","Female"
6,"California",2000,47,"15 TO 34","Male"
6,"California",2000,12,"15 TO 34","Female"
6,"California",2000,136,"35 TO 64","Male"
6,"California",2000,39,"35 TO 64","Female"
6,"California",2000,180,">= 65","Male"
6,"California",2000,189,">= 65","Female"
6,"California",2001,5,"0 TO 4","Male"
6,"California",2001,2,"0 TO 4","Female"
6,"California",2001,4,"5 TO 14","Male"
6,"California",2001,0,"5 TO 14","Female"
6,"California",2001,40,"15 TO 34","Male"
6,"California",2001,15,"15 TO 34","Female"
6,"California",2001,97,"35 TO 64","Male"
6,"California",2001,32,"35 TO 64","Female"
6,"California",2001,90,">= 65","Male"
6,"California",2001,71,">= 65","Female"
6,"California",2002,5,"0 TO 4","Male"
6,"California",2002,2,"0 TO 4","Female"
6,"California",2002,3,"5 TO 14","Male"
6,"California",2002,0,"5 TO 14","Female"
6,"California",2002,46,"15 TO 34","Male"
6,"California",2002,11,"15 TO 34","Female"
6,"California",2002,111,"35 TO 64","Male"
6,"California",2002,37,"35 TO 64","Female"
6,"California",2002,100,">= 65","Male"
6,"California",2002,85,">= 65","Female"
6,"California",2003,3,"0 TO 4","Male"
6,"California",2003,5,"0 TO 4","Female"
6,"California",2003,15,"5 TO 14","Male"
6,"California",2003,2,"5 TO 14","Female"
6,"California",2003,62,"15 TO 34","Male"
6,"California",2003,13,"15 TO 34","Female"
6,"California",2003,134,"35 TO 64","Male"
6,"California",2003,52,"35 TO 64","Female"
6,"California",2003,125,">= 65","Male"
6,"California",2003,107,">= 65","Female"
6,"California",2004,0,"0 TO 4","Male"
6,"California",2004,4,"0 TO 4","Female"
6,"California",2004,5,"5 TO 14","Male"
6,"California",2004,0,"5 TO 14","Female"
6,"California",2004,57,"15 TO 34","Male"
6,"California",2004,9,"15 TO 34","Female"
6,"California",2004,114,"35 TO 64","Male"
6,"California",2004,31,"35 TO 64","Female"
6,"California",2004,77,">= 65","Male"
6,"California",2004,58,">= 65","Female"
6,"California",2005,4,"0 TO 4","Male"
6,"California",2005,7,"0 TO 4","Female"
6,"California",2005,7,"5 TO 14","Male"
6,"California",2005,2,"5 TO 14","Female"
6,"California",2005,60,"15 TO 34","Male"
6,"California",2005,7,"15 TO 34","Female"
6,"California",2005,160,"35 TO 64","Male"
6,"California",2005,59,"35 TO 64","Female"
6,"California",2005,102,">= 65","Male"
6,"California",2005,87,">= 65","Female"
6,"California",2006,5,"0 TO 4","Male"
6,"California",2006,5,"0 TO 4","Female"
6,"California",2006,6,"5 TO 14","Male"
6,"California",2006,4,"5 TO 14","Female"
6,"California",2006,81,"15 TO 34","Male"
6,"California",2006,23,"15 TO 34","Female"
6,"California",2006,296,"35 TO 64","Male"
6,"California",2006,117,"35 TO 64","Female"
6,"California",2006,270,">= 65","Male"
6,"California",2006,293,">= 65","Female"
6,"California",2007,6,"0 TO 4","Male"
6,"California",2007,4,"0 TO 4","Female"
6,"California",2007,10,"5 TO 14","Male"
6,"California",2007,1,"5 TO 14","Female"
6,"California",2007,55,"15 TO 34","Male"
6,"California",2007,13,"15 TO 34","Female"
6,"California",2007,160,"35 TO 64","Male"
6,"California",2007,65,"35 TO 64","Female"
6,"California",2007,135,">= 65","Male"
6,"California",2007,122,">= 65","Female"
6,"California",2008,7,"0 TO 4","Male"
6,"California",2008,6,"0 TO 4","Female"
6,"California",2008,3,"5 TO 14","Male"
6,"California",2008,4,"5 TO 14","Female"
6,"California",2008,42,"15 TO 34","Male"
6,"California",2008,14,"15 TO 34","Female"
6,"California",2008,176,"35 TO 64","Male"
6,"California",2008,61,"35 TO 64","Female"
6,"California",2008,130,">= 65","Male"
6,"California",2008,128,">= 65","Female"
6,"California",2009,1,"0 TO 4","Male"
6,"California",2009,2,"0 TO 4","Female"
6,"California",2009,6,"5 TO 14","Male"
6,"California",2009,4,"5 TO 14","Female"
6,"California",2009,66,"15 TO 34","Male"
6,"California",2009,8,"15 TO 34","Female"
6,"California",2009,179,"35 TO 64","Male"
6,"California",2009,53,"35 TO 64","Female"
6,"California",2009,111,">= 65","Male"
6,"California",2009,86,">= 65","Female"
6,"California",2010,2,"0 TO 4","Male"
6,"California",2010,1,"0 TO 4","Female"
6,"California",2010,6,"5 TO 14","Male"
6,"California",2010,4,"5 TO 14","Female"
6,"California",2010,55,"15 TO 34","Male"
6,"California",2010,11,"15 TO 34","Female"
6,"California",2010,147,"35 TO 64","Male"
6,"California",2010,48,"35 TO 64","Female"
6,"California",2010,129,">= 65","Male"
6,"California",2010,100,">= 65","Female"
6,"California",2011,3,"0 TO 4","Male"
6,"California",2011,2,"0 TO 4","Female"
6,"California",2011,9,"5 TO 14","Male"
6,"California",2011,0,"5 TO 14","Female"
6,"California",2011,57,"15 TO 34","Male"
6,"California",2011,15,"15 TO 34","Female"
6,"California",2011,145,"35 TO 64","Male"
6,"California",2011,53,"35 TO 64","Female"
6,"California",2011,78,">= 65","Male"
6,"California",2011,54,">= 65","Female"
6,"California",2012,6,"0 TO 4","Male"
6,"California",2012,4,"0 TO 4","Female"
6,"California",2012,8,"5 TO 14","Male"
6,"California",2012,3,"5 TO 14","Female"
6,"California",2012,69,"15 TO 34","Male"
6,"California",2012,9,"15 TO 34","Female"
6,"California",2012,181,"35 TO 64","Male"
6,"California",2012,70,"35 TO 64","Female"
6,"California",2012,145,">= 65","Male"
6,"California",2012,83,">= 65","Female"
6,"California",2013,2,"0 TO 4","Male"
6,"California",2013,3,"0 TO 4","Female"
6,"California",2013,2,"5 TO 14","Male"
6,"California",2013,7,"5 TO 14","Female"
6,"California",2013,70,"15 TO 34","Male"
6,"California",2013,19,"15 TO 34","Female"
6,"California",2013,205,"35 TO 64","Male"
6,"California",2013,64,"35 TO 64","Female"
6,"California",2013,117,">= 65","Male"
6,"California",2013,81,">= 65","Female"
6,"California",2014,2,"0 TO 4","Male"
6,"California",2014,3,"0 TO 4","Female"
6,"California",2014,5,"5 TO 14","Male"
6,"California",2014,3,"5 TO 14","Female"
6,"California",2014,80,"15 TO 34","Male"
6,"California",2014,13,"15 TO 34","Female"
6,"California",2014,210,"35 TO 64","Male"
6,"California",2014,69,"35 TO 64","Female"
6,"California",2014,116,">= 65","Male"
6,"California",2014,86,">= 65","Female"
6,"California",2015,3,"0 TO 4","Male"
6,"California",2015,1,"0 TO 4","Female"
6,"California",2015,4,"5 TO 14","Male"
6,"California",2015,2,"5 TO 14","Female"
6,"California",2015,79,"15 TO 34","Male"
6,"California",2015,18,"15 TO 34","Female"
6,"California",2015,195,"35 TO 64","Male"
6,"California",2015,51,"35 TO 64","Female"
6,"California",2015,151,">= 65","Male"
6,"California",2015,94,">= 65","Female"
6,"California",2016,3,"0 TO 4","Male"
6,"California",2016,0,"0 TO 4","Female"
6,"California",2016,2,"5 TO 14","Male"
6,"California",2016,2,"5 TO 14","Female"
6,"California",2016,93,"15 TO 34","Male"
6,"California",2016,19,"15 TO 34","Female"
6,"California",2016,245,"35 TO 64","Male"
6,"California",2016,80,"35 TO 64","Female"
6,"California",2016,190,">= 65","Male"
6,"California",2016,122,">= 65","Female"
6,"California",2017,1,"0 TO 4","Male"
6,"California",2017,1,"0 TO 4","Female"
6,"California",2017,7,"5 TO 14","Male"
6,"California",2017,4,"5 TO 14","Female"
6,"California",2017,118,"15 TO 34","Male"
6,"California",2017,37,"15 TO 34","Female"
6,"California",2017,404,"35 TO 64","Male"
6,"California",2017,145,"35 TO 64","Female"
6,"California",2017,354,">= 65","Male"
6,"California",2017,232,">= 65","Female"
6,"California",2018,2,"0 TO 4","Male"
6,"California",2018,1,"0 TO 4","Female"
6,"California",2018,3,"5 TO 14","Male"
6,"California",2018,0,"5 TO 14","Female"
6,"California",2018,116,"15 TO 34","Male"
6,"California",2018,14,"15 TO 34","Female"
6,"California",2018,392,"35 TO 64","Male"
6,"California",2018,114,"35 TO 64","Female"
6,"California",2018,285,">= 65","Male"
6,"California",2018,199,">= 65","Female"
6,"California",2019,3,"0 TO 4","Male"
6,"California",2019,2,"0 TO 4","Female"
6,"California",2019,6,"5 TO 14","Male"
6,"California",2019,3,"5 TO 14","Female"
6,"California",2019,86,"15 TO 34","Male"
6,"California",2019,10,"15 TO 34","Female"
6,"California",2019,261,"35 TO 64","Male"
6,"California",2019,88,"35 TO 64","Female"
6,"California",2019,186,">= 65","Male"
6,"California",2019,151,">= 65","Female"
6,"California",2020,4,"0 TO 4","Male"
6,"California",2020,2,"0 TO 4","Female"
6,"California",2020,7,"5 TO 14","Male"
6,"California",2020,1,"5 TO 14","Female"
6,"California",2020,115,"15 TO 34","Male"
6,"California",2020,23,"15 TO 34","Female"
6,"California",2020,353,"35 TO 64","Male"
6,"California",2020,89,"35 TO 64","Female"
6,"California",2020,265,">= 65","Male"
6,"California",2020,142,">= 65","Female"
6,"California",2021,1,"0 TO 4","Male"
6,"California",2021,1,"0 TO 4","Female"
6,"California",2021,4,"5 TO 14","Male"
6,"California",2021,4,"5 TO 14","Female"
6,"California",2021,141,"15 TO 34","Male"
6,"California",2021,24,"15 TO 34","Female"
6,"California",2021,327,"35 TO 64","Male"
6,"California",2021,75,"35 TO 64","Female"
6,"California",2021,241,">= 65","Male"
6,"California",2021,111,">= 65","Female"
8,"Colorado",2004,1,"0 TO 4","Male"
8,"Colorado",2004,0,"0 TO 4","Female"
8,"Colorado",2004,1,"5 TO 14","Male"
8,"Colorado",2004,1,"5 TO 14","Female"
8,"Colorado",2004,5,"15 TO 34","Male"
8,"Colorado",2004,0,"15 TO 34","Female"
8,"Colorado",2004,5,"35 TO 64","Male"
8,"Colorado",2004,1,"35 TO 64","Female"
8,"Colorado",2004,9,">= 65","Male"
8,"Colorado",2004,5,">= 65","Female"
8,"Colorado",2005,1,"0 TO 4","Male"
8,"Colorado",2005,0,"0 TO 4","Female"
8,"Colorado",2005,0,"5 TO 14","Male"
8,"Colorado",2005,0,"5 TO 14","Female"
8,"Colorado",2005,7,"15 TO 34","Male"
8,"Colorado",2005,0,"15 TO 34","Female"
8,"Colorado",2005,15,"35 TO 64","Male"
8,"Colorado",2005,6,"35 TO 64","Female"
8,"Colorado",2005,9,">= 65","Male"
8,"Colorado",2005,11,">= 65","Female"
8,"Colorado",2006,1,"0 TO 4","Male"
8,"Colorado",2006,0,"0 TO 4","Female"
8,"Colorado",2006,0,"5 TO 14","Male"
8,"Colorado",2006,0,"5 TO 14","Female"
8,"Colorado",2006,2,"15 TO 34","Male"
8,"Colorado",2006,4,"15 TO 34","Female"
8,"Colorado",2006,3,"35 TO 64","Male"
8,"Colorado",2006,5,"35 TO 64","Female"
8,"Colorado",2006,10,">= 65","Male"
8,"Colorado",2006,3,">= 65","Female"
8,"Colorado",2007,1,"0 TO 4","Male"
8,"Colorado",2007,0,"0 TO 4","Female"
8,"Colorado",2007,0,"5 TO 14","Male"
8,"Colorado",2007,0,"5 TO 14","Female"
8,"Colorado",2007,3,"15 TO 34","Male"
8,"Colorado",2007,1,"15 TO 34","Female"
8,"Colorado",2007,7,"35 TO 64","Male"
8,"Colorado",2007,3,"35 TO 64","Female"
8,"Colorado",2007,8,">= 65","Male"
8,"Colorado",2007,3,">= 65","Female"
8,"Colorado",2008,0,"0 TO 4","Male"
8,"Colorado",2008,1,"0 TO 4","Female"
8,"Colorado",2008,0,"5 TO 14","Male"
8,"Colorado",2008,1,"5 TO 14","Female"
8,"Colorado",2008,1,"15 TO 34","Male"
8,"Colorado",2008,0,"15 TO 34","Female"
8,"Colorado",2008,5,"35 TO 64","Male"
8,"Colorado",2008,3,"35 TO 64","Female"
8,"Colorado",2008,7,">= 65","Male"
8,"Colorado",2008,3,">= 65","Female"
8,"Colorado",2009,0,"0 TO 4","Male"
8,"Colorado",2009,0,"0 TO 4","Female"
8,"Colorado",2009,0,"5 TO 14","Male"
8,"Colorado",2009,0,"5 TO 14","Female"
8,"Colorado",2009,1,"15 TO 34","Male"
8,"Colorado",2009,2,"15 TO 34","Female"
8,"Colorado",2009,5,"35 TO 64","Male"
8,"Colorado",2009,1,"35 TO 64","Female"
8,"Colorado",2009,3,">= 65","Male"
8,"Colorado",2009,2,">= 65","Female"
8,"Colorado",2010,0,"0 TO 4","Male"
8,"Colorado",2010,1,"0 TO 4","Female"
8,"Colorado",2010,0,"5 TO 14","Male"
8,"Colorado",2010,0,"5 TO 14","Female"
8,"Colorado",2010,6,"15 TO 34","Male"
8,"Colorado",2010,1,"15 TO 34","Female"
8,"Colorado",2010,10,"35 TO 64","Male"
8,"Colorado",2010,3,"35 TO 64","Female"
8,"Colorado",2010,11,">= 65","Male"
8,"Colorado",2010,5,">= 65","Female"
8,"Colorado",2011,0,"0 TO 4","Male"
8,"Colorado",2011,1,"0 TO 4","Female"
8,"Colorado",2011,0,"5 TO 14","Male"
8,"Colorado",2011,0,"5 TO 14","Female"
8,"Colorado",2011,7,"15 TO 34","Male"
8,"Colorado",2011,1,"15 TO 34","Female"
8,"Colorado",2011,8,"35 TO 64","Male"
8,"Colorado",2011,5,"35 TO 64","Female"
8,"Colorado",2011,15,">= 65","Male"
8,"Colorado",2011,6,">= 65","Female"
8,"Colorado",2012,0,"0 TO 4","Male"
8,"Colorado",2012,0,"0 TO 4","Female"
8,"Colorado",2012,0,"5 TO 14","Male"
8,"Colorado",2012,1,"5 TO 14","Female"
8,"Colorado",2012,4,"15 TO 34","Male"
8,"Colorado",2012,2,"15 TO 34","Female"
8,"Colorado",2012,13,"35 TO 64","Male"
8,"Colorado",2012,5,"35 TO 64","Female"
8,"Colorado",2012,8,">= 65","Male"
8,"Colorado",2012,10,">= 65","Female"
8,"Colorado",2013,0,"0 TO 4","Male"
8,"Colorado",2013,0,"0 TO 4","Female"
8,"Colorado",2013,0,"5 TO 14","Male"
8,"Colorado",2013,0,"5 TO 14","Female"
8,"Colorado",2013,10,"15 TO 34","Male"
8,"Colorado",2013,1,"15 TO 34","Female"
8,"Colorado",2013,10,"35 TO 64","Male"
8,"Colorado",2013,2,"35 TO 64","Female"
8,"Colorado",2013,15,">= 65","Male"
8,"Colorado",2013,4,">= 65","Female"
8,"Colorado",2014,0,"0 TO 4","Male"
8,"Colorado",2014,0,"0 TO 4","Female"
8,"Colorado",2014,0,"5 TO 14","Male"
8,"Colorado",2014,0,"5 TO 14","Female"
8,"Colorado",2014,1,"15 TO 34","Male"
8,"Colorado",2014,1,"15 TO 34","Female"
8,"Colorado",2014,5,"35 TO 64","Male"
8,"Colorado",2014,2,"35 TO 64","Female"
8,"Colorado",2014,3,">= 65","Male"
8,"Colorado",2014,3,">= 65","Female"
8,"Colorado",2015,1,"0 TO 4","Male"
8,"Colorado",2015,0,"0 TO 4","Female"
8,"Colorado",2015,0,"5 TO 14","Male"
8,"Colorado",2015,0,"5 TO 14","Female"
8,"Colorado",2015,4,"15 TO 34","Male"
8,"Colorado",2015,1,"15 TO 34","Female"
8,"Colorado",2015,19,"35 TO 64","Male"
8,"Colorado",2015,4,"35 TO 64","Female"
8,"Colorado",2015,11,">= 65","Male"
8,"Colorado",2015,4,">= 65","Female"
8,"Colorado",2016,0,"0 TO 4","Male"
8,"Colorado",2016,1,"0 TO 4","Female"
8,"Colorado",2016,0,"5 TO 14","Male"
8,"Colorado",2016,0,"5 TO 14","Female"
8,"Colorado",2016,7,"15 TO 34","Male"
8,"Colorado",2016,0,"15 TO 34","Female"
8,"Colorado",2016,11,"35 TO 64","Male"
8,"Colorado",2016,5,"35 TO 64","Female"
8,"Colorado",2016,10,">= 65","Male"
8,"Colorado",2016,7,">= 65","Female"
8,"Colorado",2017,0,"0 TO 4","Male"
8,"Colorado",2017,0,"0 TO 4","Female"
8,"Colorado",2017,0,"5 TO 14","Male"
8,"Colorado",2017,0,"5 TO 14","Female"
8,"Colorado",2017,4,"15 TO 34","Male"
8,"Colorado",2017,1,"15 TO 34","Female"
8,"Colorado",2017,6,"35 TO 64","Male"
8,"Colorado",2017,3,"35 TO 64","Female"
8,"Colorado",2017,12,">= 65","Male"
8,"Colorado",2017,9,">= 65","Female"
8,"Colorado",2018,0,"0 TO 4","Male"
8,"Colorado",2018,0,"0 TO 4","Female"
8,"Colorado",2018,0,"5 TO 14","Male"
8,"Colorado",2018,0,"5 TO 14","Female"
8,"Colorado",2018,7,"15 TO 34","Male"
8,"Colorado",2018,1,"15 TO 34","Female"
8,"Colorado",2018,15,"35 TO 64","Male"
8,"Colorado",2018,8,"35 TO 64","Female"
8,"Colorado",2018,8,">= 65","Male"
8,"Colorado",2018,8,">= 65","Female"
8,"Colorado",2019,1,"0 TO 4","Male"
8,"Colorado",2019,0,"0 TO 4","Female"
8,"Colorado",2019,0,"5 TO 14","Male"
8,"Colorado",2019,0,"5 TO 14","Female"
8,"Colorado",2019,3,"15 TO 34","Male"
8,"Colorado",2019,1,"15 TO 34","Female"
8,"Colorado",2019,12,"35 TO 64","Male"
8,"Colorado",2019,6,"35 TO 64","Female"
8,"Colorado",2019,17,">= 65","Male"
8,"Colorado",2019,7,">= 65","Female"
8,"Colorado",2020,0,"0 TO 4","Male"
8,"Colorado",2020,0,"0 TO 4","Female"
8,"Colorado",2020,0,"5 TO 14","Male"
8,"Colorado",2020,0,"5 TO 14","Female"
8,"Colorado",2020,2,"15 TO 34","Male"
8,"Colorado",2020,2,"15 TO 34","Female"
8,"Colorado",2020,10,"35 TO 64","Male"
8,"Colorado",2020,12,"35 TO 64","Female"
8,"Colorado",2020,12,">= 65","Male"
8,"Colorado",2020,4,">= 65","Female"
8,"Colorado",2021,0,"0 TO 4","Male"
8,"Colorado",2021,0,"0 TO 4","Female"
8,"Colorado",2021,1,"5 TO 14","Male"
8,"Colorado",2021,0,"5 TO 14","Female"
8,"Colorado",2021,4,"15 TO 34","Male"
8,"Colorado",2021,0,"15 TO 34","Female"
8,"Colorado",2021,18,"35 TO 64","Male"
8,"Colorado",2021,6,"35 TO 64","Female"
8,"Colorado",2021,20,">= 65","Male"
8,"Colorado",2021,9,">= 65","Female"
8,"Colorado",2022,0,"0 TO 4","Male"
8,"Colorado",2022,0,"0 TO 4","Female"
8,"Colorado",2022,1,"5 TO 14","Male"
8,"Colorado",2022,0,"5 TO 14","Female"
8,"Colorado",2022,2,"15 TO 34","Male"
8,"Colorado",2022,1,"15 TO 34","Female"
8,"Colorado",2022,17,"35 TO 64","Male"
8,"Colorado",2022,7,"35 TO 64","Female"
8,"Colorado",2022,24,">= 65","Male"
8,"Colorado",2022,8,">= 65","Female"
9,"Connecticut",2000,0,"0 TO 4","Male"
9,"Connecticut",2000,1,"0 TO 4","Female"
9,"Connecticut",2000,0,"5 TO 14","Male"
9,"Connecticut",2000,0,"5 TO 14","Female"
9,"Connecticut",2000,4,"15 TO 34","Male"
9,"Connecticut",2000,0,"15 TO 34","Female"
9,"Connecticut",2000,5,"35 TO 64","Male"
