"StateFIPS","State","Year","ER.Visits","Age_Group","Sex"
4,"Arizona",2011,279,"35 TO 64","Female"
4,"Arizona",2011,120,">= 65","Male"
4,"Arizona",2011,81,">= 65","Female"
4,"Arizona",2012,19,"0 TO 4","Male"
4,"Arizona",2012,8,"0 TO 4","Female"
4,"Arizona",2012,66,"5 TO 14","Male"
4,"Arizona",2012,51,"5 TO 14","Female"
4,"Arizona",2012,524,"15 TO 34","Male"
4,"Arizona",2012,220,"15 TO 34","Female"
4,"Arizona",2012,558,"35 TO 64","Male"
4,"Arizona",2012,255,"35 TO 64","Female"
4,"Arizona",2012,146,">= 65","Male"
4,"Arizona",2012,84,">= 65","Female"
4,"Arizona",2013,22,"0 TO 4","Male"
4,"Arizona",2013,15,"0 TO 4","Female"
4,"Arizona",2013,51,"5 TO 14","Male"
4,"Arizona",2013,47,"5 TO 14","Female"
4,"Arizona",2013,478,"15 TO 34","Male"
4,"Arizona",2013,216,"15 TO 34","Female"
4,"Arizona",2013,505,"35 TO 64","Male"
4,"Arizona",2013,257,"35 TO 64","Female"
4,"Arizona",2013,136,">= 65","Male"
4,"Arizona",2013,81,">= 65","Female"
4,"Arizona",2014,19,"0 TO 4","Male"
4,"Arizona",2014,14,"0 TO 4","Female"
4,"Arizona",2014,63,"5 TO 14","Male"
4,"Arizona",2014,36,"5 TO 14","Female"
4,"Arizona",2014,455,"15 TO 34","Male"
4,"Arizona",2014,176,"15 TO 34","Female"
4,"Arizona",2014,514,"35 TO 64","Male"
4,"Arizona",2014,232,"35 TO 64","Female"
4,"Arizona",2014,124,">= 65","Male"
4,"Arizona",2014,95,">= 65","Female"
4,"Arizona",2015,14,"0 TO 4","Male"
4,"Arizona",2015,10,"0 TO 4","Female"
4,"Arizona",2015,55,"5 TO 14","Male"
4,"Arizona",2015,31,"5 TO 14","Female"
4,"Arizona",2015,521,"15 TO 34","Male"
4,"Arizona",2015,224,"15 TO 34","Female"
4,"Arizona",2015,580,"35 TO 64","Male"
4,"Arizona",2015,274,"35 TO 64","Female"
4,"Arizona",2015,167,">= 65","Male"
4,"Arizona",2015,102,">= 65","Female"
4,"Arizona",2016,15,"0 TO 4","Male"
4,"Arizona",2016,12,"0 TO 4","Female"
4,"Arizona",2016,54,"5 TO 14","Male"
4,"Arizona",2016,48,"5 TO 14","Female"
4,"Arizona",2016,655,"15 TO 34","Male"
4,"Arizona",2016,263,"15 TO 34","Female"
4,"Arizona",2016,763,"35 TO 64","Male"
4,"Arizona",2016,329,"35 TO 64","Female"
4,"Arizona",2016,191,">= 65","Male"
4,"Arizona",2016,153,">= 65","Female"
4,"Arizona",2017,18,"0 TO 4","Male"
4,"Arizona",2017,11,"0 TO 4","Female"
4,"Arizona",2017,60,"5 TO 14","Male"
4,"Arizona",2017,50,"5 TO 14","Female"
4,"Arizona",2017,657,"15 TO 34","Male"
4,"Arizona",2017,265,"15 TO 34","Female"
4,"Arizona",2017,830,"35 TO 64","Male"
4,"Arizona",2017,352,"35 TO 64","Female"
4,"Arizona",2017,242,">= 65","Male"
4,"Arizona",2017,149,">= 65","Female"
4,"Arizona",2018,24,"0 TO 4","Male"
4,"Arizona",2018,6,"0 TO 4","Female"
4,"Arizona",2018,61,"5 TO 14","Male"
4,"Arizona",2018,43,"5 TO 14","Female"
4,"Arizona",2018,642,"15 TO 34","Male"
4,"Arizona",2018,265,"15 TO 34","Female"
4,"Arizona",2018,852,"35 TO 64","Male"
4,"Arizona",2018,336,"35 TO 64","Female"
4,"Arizona",2018,215,">= 65","Male"
4,"Arizona",2018,148,">= 65","Female"
4,"Arizona",2019,23,"0 TO 4","Male"
4,"Arizona",2019,12,"0 TO 4","Female"
4,"Arizona",2019,55,"5 TO 14","Male"
4,"Arizona",2019,48,"5 TO 14","Female"
4,"Arizona",2019,647,"15 TO 34","Male"
4,"Arizona",2019,236,"15 TO 34","Female"
4,"Arizona",2019,815,"35 TO 64","Male"
4,"Arizona",2019,364,"35 TO 64","Female"
4,"Arizona",2019,241,">= 65","Male"
4,"Arizona",2019,131,">= 65","Female"
4,"Arizona",2020,2,"0 TO 4","Male"
4,"Arizona",2020,8,"0 TO 4","Female"
4,"Arizona",2020,21,"5 TO 14","Male"
4,"Arizona",2020,20,"5 TO 14","Female"
4,"Arizona",2020,480,"15 TO 34","Male"
4,"Arizona",2020,164,"15 TO 34","Female"
4,"Arizona",2020,735,"35 TO 64","Male"
4,"Arizona",2020,260,"35 TO 64","Female"
4,"Arizona",2020,229,">= 65","Male"
4,"Arizona",2020,152,">= 65","Female"
4,"Arizona",2021,16,"0 TO 4","Male"
4,"Arizona",2021,11,"0 TO 4","Female"
4,"Arizona",2021,44,"5 TO 14","Male"
4,"Arizona",2021,37,"5 TO 14","Female"
4,"Arizona",2021,589,"15 TO 34","Male"
4,"Arizona",2021,233,"15 TO 34","Female"
4,"Arizona",2021,814,"35 TO 64","Male"
4,"Arizona",2021,306,"35 TO 64","Female"
4,"Arizona",2021,267,">= 65","Male"
4,"Arizona",2021,173,">= 65","Female"
4,"Arizona",2022,12,"0 TO 4","Male"
4,"Arizona",2022,10,"0 TO 4","Female"
4,"Arizona",2022,47,"5 TO 14","Male"
4,"Arizona",2022,39,"5 TO 14","Female"
4,"Arizona",2022,620,"15 TO 34","Male"
4,"Arizona",2022,219,"15 TO 34","Female"
4,"Arizona",2022,927,"35 TO 64","Male"
4,"Arizona",2022,371,"35 TO 64","Female"
4,"Arizona",2022,325,">= 65","Male"
4,"Arizona",2022,194,">= 65","Female"
6,"California",2005,55,"0 TO 4","Male"
6,"California",2005,42,"0 TO 4","Female"
6,"California",2005,141,"5 TO 14","Male"
6,"California",2005,123,"5 TO 14","Female"
6,"California",2005,777,"15 TO 34","Male"
6,"California",2005,353,"15 TO 34","Female"
6,"California",2005,894,"35 TO 64","Male"
6,"California",2005,443,"35 TO 64","Female"
6,"California",2005,282,">= 65","Male"
6,"California",2005,249,">= 65","Female"
6,"California",2006,88,"0 TO 4","Male"
6,"California",2006,65,"0 TO 4","Female"
6,"California",2006,171,"5 TO 14","Male"
6,"California",2006,138,"5 TO 14","Female"
6,"California",2006,595,"15 TO 34","Female"
6,"California",2006,794,"35 TO 64","Female"
6,"California",2006,559,">= 65","Male"
6,"California",2006,662,">= 65","Female"
6,"California",2007,58,"0 TO 4","Male"
6,"California",2007,51,"0 TO 4","Female"
6,"California",2007,159,"5 TO 14","Male"
6,"California",2007,130,"5 TO 14","Female"
6,"California",2007,796,"15 TO 34","Male"
6,"California",2007,385,"15 TO 34","Female"
6,"California",2007,969,"35 TO 64","Male"
6,"California",2007,494,"35 TO 64","Female"
6,"California",2007,320,">= 65","Male"
6,"California",2007,346,">= 65","Female"
6,"California",2008,83,"0 TO 4","Male"
6,"California",2008,54,"0 TO 4","Female"
6,"California",2008,187,"5 TO 14","Male"
6,"California",2008,171,"5 TO 14","Female"
6,"California",2008,902,"15 TO 34","Male"
6,"California",2008,491,"15 TO 34","Female"
6,"California",2008,562,"35 TO 64","Female"
6,"California",2008,397,">= 65","Male"
6,"California",2008,376,">= 65","Female"
6,"California",2009,53,"0 TO 4","Male"
6,"California",2009,59,"0 TO 4","Female"
6,"California",2009,210,"5 TO 14","Male"
6,"California",2009,154,"5 TO 14","Female"
6,"California",2009,831,"15 TO 34","Male"
6,"California",2009,427,"15 TO 34","Female"
6,"California",2009,581,"35 TO 64","Female"
6,"California",2009,368,">= 65","Male"
6,"California",2009,312,">= 65","Female"
6,"California",2010,63,"0 TO 4","Male"
6,"California",2010,51,"0 TO 4","Female"
6,"California",2010,195,"5 TO 14","Male"
6,"California",2010,128,"5 TO 14","Female"
6,"California",2010,754,"15 TO 34","Male"
6,"California",2010,407,"15 TO 34","Female"
6,"California",2010,872,"35 TO 64","Male"
6,"California",2010,453,"35 TO 64","Female"
6,"California",2010,379,">= 65","Male"
6,"California",2010,301,">= 65","Female"
6,"California",2011,59,"0 TO 4","Male"
6,"California",2011,45,"0 TO 4","Female"
6,"California",2011,191,"5 TO 14","Male"
6,"California",2011,146,"5 TO 14","Female"
6,"California",2011,854,"15 TO 34","Male"
6,"California",2011,494,"15 TO 34","Female"
6,"California",2011,960,"35 TO 64","Male"
6,"California",2011,535,"35 TO 64","Female"
6,"California",2011,303,">= 65","Male"
6,"California",2011,274,">= 65","Female"
6,"California",2012,75,"0 TO 4","Male"
6,"California",2012,74,"0 TO 4","Female"
6,"California",2012,222,"5 TO 14","Male"
6,"California",2012,192,"5 TO 14","Female"
6,"California",2012,544,"15 TO 34","Female"
6,"California",2012,672,"35 TO 64","Female"
6,"California",2012,473,">= 65","Male"
6,"California",2012,409,">= 65","Female"
6,"California",2013,80,"0 TO 4","Male"
6,"California",2013,71,"0 TO 4","Female"
6,"California",2013,204,"5 TO 14","Male"
6,"California",2013,204,"5 TO 14","Female"
6,"California",2013,597,"15 TO 34","Female"
6,"California",2013,759,"35 TO 64","Female"
6,"California",2013,465,">= 65","Male"
6,"California",2013,426,">= 65","Female"
6,"California",2014,80,"0 TO 4","Male"
6,"California",2014,73,"0 TO 4","Female"
6,"California",2014,237,"5 TO 14","Male"
6,"California",2014,200,"5 TO 14","Female"
6,"California",2014,557,"15 TO 34","Female"
6,"California",2014,693,"35 TO 64","Female"
6,"California",2014,479,">= 65","Male"
6,"California",2014,396,">= 65","Female"
6,"California",2015,75,"0 TO 4","Male"
6,"California",2015,84,"0 TO 4","Female"
6,"California",2015,214,"5 TO 14","Male"
6,"California",2015,146,"5 TO 14","Female"
6,"California",2015,607,"15 TO 34","Female"
6,"California",2015,713,"35 TO 64","Female"
6,"California",2015,508,">= 65","Male"
6,"California",2015,434,">= 65","Female"
6,"California",2016,58,"0 TO 4","Male"
6,"California",2016,28,"0 TO 4","Female"
6,"California",2016,189,"5 TO 14","Male"
6,"California",2016,151,"5 TO 14","Female"
6,"California",2016,558,"15 TO 34","Female"
6,"California",2016,753,"35 TO 64","Female"
6,"California",2016,613,">= 65","Male"
6,"California",2016,477,">= 65","Female"
6,"California",2017,67,"0 TO 4","Male"
6,"California",2017,61,"0 TO 4","Female"
6,"California",2017,293,"5 TO 14","Male"
6,"California",2017,226,"5 TO 14","Female"
6,"California",2017,850,"15 TO 34","Female"
6,"California",2017,842,">= 65","Female"
6,"California",2018,61,"0 TO 4","Male"
6,"California",2018,33,"0 TO 4","Female"
6,"California",2018,207,"5 TO 14","Male"
6,"California",2018,146,"5 TO 14","Female"
6,"California",2018,547,"15 TO 34","Female"
6,"California",2018,857,"35 TO 64","Female"
6,"California",2018,805,">= 65","Male"
6,"California",2018,653,">= 65","Female"
6,"California",2019,45,"0 TO 4","Male"
6,"California",2019,32,"0 TO 4","Female"
6,"California",2019,189,"5 TO 14","Male"
6,"California",2019,147,"5 TO 14","Female"
6,"California",2019,503,"15 TO 34","Female"
6,"California",2019,724,"35 TO 64","Female"
6,"California",2019,651,">= 65","Male"
6,"California",2019,532,">= 65","Female"
6,"California",2020,19,"0 TO 4","Male"
6,"California",2020,10,"0 TO 4","Female"
6,"California",2020,45,"5 TO 14","Male"
6,"California",2020,43,"5 TO 14","Female"
6,"California",2020,413,"15 TO 34","Female"
6,"California",2020,701,"35 TO 64","Female"
6,"California",2020,690,">= 65","Male"
6,"California",2020,491,">= 65","Female"
6,"California",2021,35,"0 TO 4","Male"
6,"California",2021,27,"0 TO 4","Female"
6,"California",2021,110,"5 TO 14","Male"
6,"California",2021,104,"5 TO 14","Female"
6,"California",2021,441,"15 TO 34","Female"
6,"California",2021,667,"35 TO 64","Female"
6,"California",2021,676,">= 65","Male"
6,"California",2021,451,">= 65","Female"
8,"Colorado",2013,11,"0 TO 4","Male"
8,"Colorado",2013,6,"0 TO 4","Female"
8,"Colorado",2013,21,"5 TO 14","Male"
8,"Colorado",2013,18,"5 TO 14","Female"
8,"Colorado",2013,76,"15 TO 34","Male"
8,"Colorado",2013,45,"15 TO 34","Female"
8,"Colorado",2013,57,"35 TO 64","Male"
8,"Colorado",2013,39,"35 TO 64","Female"
8,"Colorado",2013,13,">= 65","Male"
8,"Colorado",2013,16,">= 65","Female"
8,"Colorado",2014,5,"0 TO 4","Male"
8,"Colorado",2014,3,"0 TO 4","Female"
8,"Colorado",2014,7,"5 TO 14","Male"
8,"Colorado",2014,11,"5 TO 14","Female"
8,"Colorado",2014,60,"15 TO 34","Male"
8,"Colorado",2014,35,"15 TO 34","Female"
8,"Colorado",2014,60,"35 TO 64","Male"
8,"Colorado",2014,27,"35 TO 64","Female"
8,"Colorado",2014,13,">= 65","Male"
8,"Colorado",2014,16,">= 65","Female"
8,"Colorado",2015,0,"0 TO 4","Male"
8,"Colorado",2015,9,"0 TO 4","Female"
8,"Colorado",2015,23,"5 TO 14","Male"
8,"Colorado",2015,13,"5 TO 14","Female"
8,"Colorado",2015,88,"15 TO 34","Male"
8,"Colorado",2015,42,"15 TO 34","Female"
8,"Colorado",2015,80,"35 TO 64","Male"
8,"Colorado",2015,52,"35 TO 64","Female"
8,"Colorado",2015,24,">= 65","Male"
8,"Colorado",2015,24,">= 65","Female"
8,"Colorado",2016,11,"0 TO 4","Male"
8,"Colorado",2016,3,"0 TO 4","Female"
8,"Colorado",2016,32,"5 TO 14","Male"
8,"Colorado",2016,14,"5 TO 14","Female"
8,"Colorado",2016,110,"15 TO 34","Male"
8,"Colorado",2016,61,"15 TO 34","Female"
8,"Colorado",2016,102,"35 TO 64","Male"
8,"Colorado",2016,58,"35 TO 64","Female"
8,"Colorado",2016,40,">= 65","Male"
8,"Colorado",2016,36,">= 65","Female"
8,"Colorado",2017,8,"0 TO 4","Male"
8,"Colorado",2017,3,"0 TO 4","Female"
8,"Colorado",2017,18,"5 TO 14","Male"
8,"Colorado",2017,7,"5 TO 14","Female"
8,"Colorado",2017,78,"15 TO 34","Male"
8,"Colorado",2017,49,"15 TO 34","Female"
8,"Colorado",2017,73,"35 TO 64","Male"
8,"Colorado",2017,33,"35 TO 64","Female"
8,"Colorado",2017,33,">= 65","Male"
8,"Colorado",2017,21,">= 65","Female"
8,"Colorado",2018,8,"0 TO 4","Male"
8,"Colorado",2018,5,"0 TO 4","Female"
8,"Colorado",2018,17,"5 TO 14","Male"
8,"Colorado",2018,13,"5 TO 14","Female"
8,"Colorado",2018,113,"15 TO 34","Male"
8,"Colorado",2018,52,"15 TO 34","Female"
8,"Colorado",2018,112,"35 TO 64","Male"
8,"Colorado",2018,66,"35 TO 64","Female"
8,"Colorado",2018,43,">= 65","Male"
8,"Colorado",2018,27,">= 65","Female"
8,"Colorado",2019,4,"0 TO 4","Male"
8,"Colorado",2019,3,"0 TO 4","Female"
8,"Colorado",2019,17,"5 TO 14","Male"
8,"Colorado",2019,10,"5 TO 14","Female"
8,"Colorado",2019,92,"15 TO 34","Male"
8,"Colorado",2019,45,"15 TO 34","Female"
8,"Colorado",2019,89,"35 TO 64","Male"
8,"Colorado",2019,70,"35 TO 64","Female"
8,"Colorado",2019,33,">= 65","Male"
8,"Colorado",2019,26,">= 65","Female"
8,"Colorado",2020,0,"0 TO 4","Male"
8,"Colorado",2020,1,"0 TO 4","Female"
8,"Colorado",2020,2,"5 TO 14","Male"
8,"Colorado",2020,8,"5 TO 14","Female"
8,"Colorado",2020,59,"15 TO 34","Male"
8,"Colorado",2020,31,"15 TO 34","Female"
8,"Colorado",2020,92,"35 TO 64","Male"
8,"Colorado",2020,39,"35 TO 64","Female"
8,"Colorado",2020,44,">= 65","Male"
8,"Colorado",2020,26,">= 65","Female"
8,"Colorado",2021,3,"0 TO 4","Male"
8,"Colorado",2021,3,"0 TO 4","Female"
8,"Colorado",2021,16,"5 TO 14","Male"
8,"Colorado",2021,11,"5 TO 14","Female"
8,"Colorado",2021,94,"15 TO 34","Male"
8,"Colorado",2021,52,"15 TO 34","Female"
8,"Colorado",2021,95,"35 TO 64","Male"
8,"Colorado",2021,60,"35 TO 64","Female"
8,"Colorado",2021,44,">= 65","Male"
8,"Colorado",2021,47,">= 65","Female"
8,"Colorado",2022,6,"0 TO 4","Male"
8,"Colorado",2022,3,"0 TO 4","Female"
8,"Colorado",2022,15,"5 TO 14","Male"
8,"Colorado",2022,11,"5 TO 14","Female"
8,"Colorado",2022,109,"15 TO 34","Male"
8,"Colorado",2022,58,"15 TO 34","Female"
8,"Colorado",2022,118,"35 TO 64","Male"
8,"Colorado",2022,77,"35 TO 64","Female"
8,"Colorado",2022,61,">= 65","Male"
8,"Colorado",2022,36,">= 65","Female"
9,"Connecticut",2000,3,"0 TO 4","Male"
9,"Connecticut",2000,1,"0 TO 4","Female"
9,"Connecticut",2000,19,"5 TO 14","Male"
9,"Connecticut",2000,11,"5 TO 14","Female"
9,"Connecticut",2000,36,"15 TO 34","Male"
9,"Connecticut",2000,34,"15 TO 34","Female"
9,"Connecticut",2000,50,"35 TO 64","Male"
9,"Connecticut",2000,24,"35 TO 64","Female"
9,"Connecticut",2000,19,">= 65","Male"
9,"Connecticut",2000,14,">= 65","Female"
9,"Connecticut",2001,6,"0 TO 4","Male"
9,"Connecticut",2001,4,"0 TO 4","Female"
9,"Connecticut",2001,20,"5 TO 14","Male"
9,"Connecticut",2001,13,"5 TO 14","Female"
9,"Connecticut",2001,99,"15 TO 34","Male"
9,"Connecticut",2001,39,"15 TO 34","Female"
9,"Connecticut",2001,98,"35 TO 64","Male"
9,"Connecticut",2001,60,"35 TO 64","Female"
9,"Connecticut",2001,26,">= 65","Male"
9,"Connecticut",2001,31,">= 65","Female"
9,"Connecticut",2002,9,"0 TO 4","Male"
9,"Connecticut",2002,6,"0 TO 4","Female"
9,"Connecticut",2002,17,"5 TO 14","Male"
9,"Connecticut",2002,10,"5 TO 14","Female"
9,"Connecticut",2002,100,"15 TO 34","Male"
9,"Connecticut",2002,56,"15 TO 34","Female"
9,"Connecticut",2002,122,"35 TO 64","Male"
9,"Connecticut",2002,70,"35 TO 64","Female"
9,"Connecticut",2002,47,">= 65","Male"
9,"Connecticut",2002,51,">= 65","Female"
9,"Connecticut",2003,8,"0 TO 4","Male"
9,"Connecticut",2003,8,"0 TO 4","Female"
9,"Connecticut",2003,12,"5 TO 14","Male"
9,"Connecticut",2003,7,"5 TO 14","Female"
9,"Connecticut",2003,80,"15 TO 34","Male"
9,"Connecticut",2003,35,"15 TO 34","Female"
9,"Connecticut",2003,74,"35 TO 64","Male"
9,"Connecticut",2003,38,"35 TO 64","Female"
9,"Connecticut",2003,31,">= 65","Male"
9,"Connecticut",2003,32,">= 65","Female"
9,"Connecticut",2004,4,"0 TO 4","Male"
9,"Connecticut",2004,3,"0 TO 4","Female"
9,"Connecticut",2004,11,"5 TO 14","Male"
9,"Connecticut",2004,14,"5 TO 14","Female"
9,"Connecticut",2004,50,"15 TO 34","Male"
9,"Connecticut",2004,29,"15 TO 34","Female"
9,"Connecticut",2004,74,"35 TO 64","Male"
9,"Connecticut",2004,25,"35 TO 64","Female"
9,"Connecticut",2004,18,">= 65","Male"
9,"Connecticut",2004,12,">= 65","Female"
9,"Connecticut",2005,7,"0 TO 4","Male"
9,"Connecticut",2005,1,"0 TO 4","Female"
9,"Connecticut",2005,34,"5 TO 14","Male"
9,"Connecticut",2005,21,"5 TO 14","Female"
9,"Connecticut",2005,110,"15 TO 34","Male"
9,"Connecticut",2005,54,"15 TO 34","Female"
9,"Connecticut",2005,108,"35 TO 64","Male"
9,"Connecticut",2005,73,"35 TO 64","Female"
9,"Connecticut",2005,35,">= 65","Male"
9,"Connecticut",2005,28,">= 65","Female"
9,"Connecticut",2006,9,"0 TO 4","Male"
9,"Connecticut",2006,2,"0 TO 4","Female"
9,"Connecticut",2006,20,"5 TO 14","Male"
9,"Connecticut",2006,19,"5 TO 14","Female"
9,"Connecticut",2006,116,"15 TO 34","Male"
9,"Connecticut",2006,67,"15 TO 34","Female"
9,"Connecticut",2006,118,"35 TO 64","Male"
9,"Connecticut",2006,68,"35 TO 64","Female"
9,"Connecticut",2006,40,">= 65","Male"
9,"Connecticut",2006,43,">= 65","Female"
9,"Connecticut",2007,4,"0 TO 4","Male"
9,"Connecticut",2007,2,"0 TO 4","Female"
9,"Connecticut",2007,16,"5 TO 14","Male"
9,"Connecticut",2007,13,"5 TO 14","Female"
9,"Connecticut",2007,79,"15 TO 34","Male"
9,"Connecticut",2007,46,"15 TO 34","Female"
9,"Connecticut",2007,109,"35 TO 64","Male"
9,"Connecticut",2007,53,"35 TO 64","Female"
9,"Connecticut",2007,34,">= 65","Male"
9,"Connecticut",2007,28,">= 65","Female"
9,"Connecticut",2008,5,"0 TO 4","Male"
9,"Connecticut",2008,3,"0 TO 4","Female"
9,"Connecticut",2008,23,"5 TO 14","Male"
9,"Connecticut",2008,19,"5 TO 14","Female"
9,"Connecticut",2008,92,"15 TO 34","Male"
9,"Connecticut",2008,63,"15 TO 34","Female"
9,"Connecticut",2008,113,"35 TO 64","Male"
9,"Connecticut",2008,57,"35 TO 64","Female"
9,"Connecticut",2008,38,">= 65","Male"
9,"Connecticut",2008,37,">= 65","Female"
9,"Connecticut",2009,4,"0 TO 4","Male"
9,"Connecticut",2009,6,"0 TO 4","Female"
9,"Connecticut",2009,14,"5 TO 14","Male"
9,"Connecticut",2009,10,"5 TO 14","Female"
9,"Connecticut",2009,65,"15 TO 34","Male"
9,"Connecticut",2009,39,"15 TO 34","Female"
9,"Connecticut",2009,71,"35 TO 64","Male"
9,"Connecticut",2009,30,"35 TO 64","Female"
9,"Connecticut",2009,18,">= 65","Male"
9,"Connecticut",2009,21,">= 65","Female"
9,"Connecticut",2010,4,"0 TO 4","Male"
9,"Connecticut",2010,5,"0 TO 4","Female"
9,"Connecticut",2010,24,"5 TO 14","Male"
9,"Connecticut",2010,24,"5 TO 14","Female"
9,"Connecticut",2010,126,"15 TO 34","Male"
9,"Connecticut",2010,88,"15 TO 34","Female"
9,"Connecticut",2010,166,"35 TO 64","Male"
9,"Connecticut",2010,72,"35 TO 64","Female"
9,"Connecticut",2010,60,">= 65","Male"
9,"Connecticut",2010,60,">= 65","Female"
9,"Connecticut",2011,1,"0 TO 4","Male"
9,"Connecticut",2011,1,"0 TO 4","Female"
9,"Connecticut",2011,14,"5 TO 14","Male"
9,"Connecticut",2011,17,"5 TO 14","Female"
9,"Connecticut",2011,68,"15 TO 34","Male"
9,"Connecticut",2011,52,"15 TO 34","Female"
9,"Connecticut",2011,95,"35 TO 64","Male"
9,"Connecticut",2011,48,"35 TO 64","Female"
9,"Connecticut",2011,16,">= 65","Male"
9,"Connecticut",2011,16,">= 65","Female"
9,"Connecticut",2012,6,"0 TO 4","Male"
9,"Connecticut",2012,9,"0 TO 4","Female"
9,"Connecticut",2012,27,"5 TO 14","Male"
9,"Connecticut",2012,29,"5 TO 14","Female"
9,"Connecticut",2012,134,"15 TO 34","Male"
9,"Connecticut",2012,82,"15 TO 34","Female"
9,"Connecticut",2012,132,"35 TO 64","Male"
9,"Connecticut",2012,91,"35 TO 64","Female"
9,"Connecticut",2012,35,">= 65","Male"
9,"Connecticut",2012,42,">= 65","Female"
9,"Connecticut",2013,9,"0 TO 4","Male"
9,"Connecticut",2013,7,"0 TO 4","Female"
9,"Connecticut",2013,36,"5 TO 14","Male"
9,"Connecticut",2013,20,"5 TO 14","Female"
9,"Connecticut",2013,130,"15 TO 34","Male"
9,"Connecticut",2013,88,"15 TO 34","Female"
9,"Connecticut",2013,174,"35 TO 64","Male"
9,"Connecticut",2013,83,"35 TO 64","Female"
9,"Connecticut",2013,50,">= 65","Male"
9,"Connecticut",2013,54,">= 65","Female"
9,"Connecticut",2014,4,"0 TO 4","Male"
9,"Connecticut",2014,6,"0 TO 4","Female"
9,"Connecticut",2014,15,"5 TO 14","Male"
9,"Connecticut",2014,10,"5 TO 14","Female"
9,"Connecticut",2014,52,"15 TO 34","Male"
9,"Connecticut",2014,38,"15 TO 34","Female"
9,"Connecticut",2014,79,"35 TO 64","Male"
9,"Connecticut",2014,36,"35 TO 64","Female"
9,"Connecticut",2014,18,">= 65","Male"
9,"Connecticut",2014,16,">= 65","Female"
9,"Connecticut",2015,4,"0 TO 4","Male"
9,"Connecticut",2015,6,"0 TO 4","Female"
9,"Connecticut",2015,15,"5 TO 14","Male"
9,"Connecticut",2015,13,"5 TO 14","Female"
9,"Connecticut",2015,86,"15 TO 34","Male"
9,"Connecticut",2015,37,"15 TO 34","Female"
9,"Connecticut",2015,88,"35 TO 64","Male"
9,"Connecticut",2015,47,"35 TO 64","Female"
